(.ID.  algorithm  localsearch  alpha  beta  rho  ants  q0  rasrank  elitistants  nnls  dlb  statusElite  iteration  eliteResults) (.ID.  algorithm  localsearch  alpha  beta  rho  ants  q0  rasrank  elitistants  nnls  dlb  statusNew  iteration  newResults)
(10  as  3  2.4084  8.9931  0.3965  8  NA  NA  NA  27  1  e  2  33197021.5) (93  as  3  4.681  9.652  0.9934  84  NA  NA  NA  18  1  ne  2  33219129.1666667)
(35  eas  3  3.774  6.5805  0.8948  59  NA  NA  555  22  1  e  2  33262984.3333333) (54  as  2  1.3122  7.4586  0.884  26  NA  NA  NA  28  0  ne  2  33664840)
(35  eas  3  3.774  6.5805  0.8948  59  NA  NA  555  22  1  e  2  33262984.3333333) (56  eas  2  2.4657  6.1468  0.7424  63  NA  NA  491  17  1  ne  2  33530320.4)
(35  eas  3  3.774  6.5805  0.8948  59  NA  NA  555  22  1  e  2  33262984.3333333) (57  ras  3  3.6768  8.2024  0.6744  53  NA  50  NA  41  1  ne  2  33368600.2)
(35  eas  3  3.774  6.5805  0.8948  59  NA  NA  555  22  1  e  2  33262984.3333333) (62  eas  3  4.1915  1.1264  0.5899  49  NA  NA  409  41  0  ne  2  33603398.4)
(35  eas  3  3.774  6.5805  0.8948  59  NA  NA  555  22  1  e  2  33262984.3333333) (67  eas  0  4.769  3.9288  0.803  76  NA  NA  455  NA  NA  ne  2  46334548.6)
(35  eas  3  3.774  6.5805  0.8948  59  NA  NA  555  22  1  e  2  33262984.3333333) (76  eas  3  4.3292  8.7891  0.8712  91  NA  NA  18  21  1  ne  2  33403418.6)
(35  eas  3  3.774  6.5805  0.8948  59  NA  NA  555  22  1  e  2  33262984.3333333) (91  ras  3  2.9516  1.4844  0.7311  10  NA  45  NA  31  0  ne  2  33412777.4)
(33  ras  2  4.1186  2.933  0.7282  17  NA  41  NA  28  0  e  2  33305227.8333333) (53  eas  2  3.8622  3.6809  0.4862  53  NA  NA  94  40  0  ne  2  33646575.4)
(33  ras  2  4.1186  2.933  0.7282  17  NA  41  NA  28  0  e  2  33305227.8333333) (61  eas  0  2.891  2.1649  0.438  31  NA  NA  645  NA  NA  ne  2  54818443.8)
(33  ras  2  4.1186  2.933  0.7282  17  NA  41  NA  28  0  e  2  33305227.8333333) (83  mmas  1  4.3182  2.7601  0.5188  25  NA  NA  NA  40  1  ne  2  33823122.8)
(33  ras  2  4.1186  2.933  0.7282  17  NA  41  NA  28  0  e  2  33305227.8333333) (90  mmas  0  3.2213  0.9073  0.8272  45  NA  NA  NA  NA  NA  ne  2  66605587.2)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (94  eas  3  4.718  6.3395  0.1307  14  NA  NA  395  30  0  ne  3  33320941.2)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (95  as  3  2.2933  7.597  0.132  6  NA  NA  NA  10  0  ne  3  33190473)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (96  ras  3  3.5272  8.4317  0.6884  28  NA  26  NA  17  0  ne  3  33178952.4)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (97  ras  0  3.0459  8.1678  0.6811  63  NA  82  NA  NA  NA  ne  3  39576069.8)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (98  ras  3  2.5936  7.6998  0.4491  10  NA  6  NA  25  1  ne  3  33165666)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (99  as  3  3.472  7.9249  0.4965  6  NA  NA  NA  11  1  ne  3  33035659)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (100  acs  3  3.7383  7.5944  0.4109  22  0.6094  NA  NA  20  0  ne  3  33267942.6)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (101  ras  1  2.6492  4.6276  0.3801  34  NA  46  NA  13  0  ne  3  33915027.2)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (102  ras  3  3.9588  7.9841  0.2748  21  NA  42  NA  9  1  ne  3  33274788.4)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  ne  3  33052259.4)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (104  ras  3  4.9488  5.0549  0.0637  31  NA  26  NA  35  0  ne  3  33419436.8)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (105  ras  0  2.0523  7.51  0.3351  7  NA  2  NA  NA  NA  ne  3  40243882.2)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (106  as  0  3.6197  6.8947  0.0821  28  NA  NA  NA  NA  NA  ne  3  38943825.2)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (107  ras  3  2.0419  8.6822  0.3525  20  NA  3  NA  7  0  ne  3  33322851.6)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (108  acs  3  2.6441  6.4771  0.4398  16  0.7156  NA  NA  7  0  ne  3  33190193)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (109  ras  3  2.9915  8.531  0.3701  36  NA  24  NA  37  1  ne  3  33253177.6)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (110  ras  3  3.4912  3.3393  0.3591  29  NA  14  NA  12  1  ne  3  33115927.6)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (111  ras  3  3.2011  8.8872  0.5844  15  NA  37  NA  23  1  ne  3  33148282)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (112  ras  3  3.7989  8.604  0.239  42  NA  7  NA  20  1  ne  3  33277735.2)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (113  as  3  1.8702  8.2137  0.401  23  NA  NA  NA  10  1  ne  3  33344136.2)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (114  ras  3  2.9338  8.1826  0.1675  28  NA  22  NA  25  1  ne  3  33195391.8)
