Run Fitness1 Solution1 Elite1 Iteration1 Fitness2 Solution2 Elite2 Iteration2
1 3307172.60 3016026 T 1 3245987.20 1016011 F 2
1 3307172.60 3016026 T 1 4346154.00 3011026 F 2
1 3307172.60 3016026 T 1 4659272.40 1011026 F 2
1 3307172.60 3016026 T 1 4677724.40 0026011 F 2
1 3307172.60 3016026 T 1 4365684.44 1006036 F 2
1 3307172.60 3016026 T 1 4347660.67 3001026 F 2
1 3307172.60 3016026 T 1 4642101.20 0021041 F 2
1 3307172.60 3016026 T 1 4065198.67 2011026 F 2
1 3307172.60 3016026 T 1 4053865.33 2016026 F 2
1 3307172.60 3016026 T 1 4668159.60 1016001 F 2
1 3307172.60 3016026 T 1 3307172.60 3016026 T 2
1 3307172.60 3016026 T 1 4636149.20 1031031 F 2
1 3307172.60 3016026 T 1 4633146.40 0021026 F 2
1 3307172.60 3016026 T 1 3244845.20 3016041 F 2
1 3307172.60 3016026 T 1 4057874.33 1026016 F 2
1 3307172.60 3016026 T 1 3245987.20 1016011 F 2
1 3307172.60 3016026 T 1 4350841.11 3001031 F 2
1 3307172.60 3016026 T 1 4667171.60 2011021 F 2
1 3307172.60 3016026 T 1 4060739.33 2006016 F 2
1 3307172.60 3016026 T 1 3626126.55 3011031 F 2
1 3307172.60 3016026 T 1 3245828.40 3021026 T 2
1 3307172.60 3016026 T 1 3157214.00 3016036 T 2
1 3307172.60 3016026 T 1 4346154.00 3011026 F 2
1 3307172.60 3016026 T 1 3315736.20 0016016 F 2
1 3307172.60 3016026 T 1 4664527.60 2006041 F 2
1 3307172.60 3016026 T 1 4666804.80 1016021 F 2
1 3307172.60 3016026 T 1 4667339.20 0001026 F 2
1 3307172.60 3016026 T 1 3302838.80 3016021 F 2
1 3307172.60 3016026 T 1 2820884.33 3031026 F 2
1 3307172.60 3016026 T 1 2782709.11 0026026 F 2
1 3307172.60 3016026 T 1 4662486.40 0011026 F 2
1 3307172.60 3016026 T 1 3303910.20 3006021 T 2
1 3307172.60 3016026 T 1 3236618.80 3016016 T 2
1 3307172.60 3016026 T 1 2766771.11 3031016 T 2
1 3307172.60 3016026 T 1 3307172.60 3016026 T 2
1 3307172.60 3016026 T 1 3245828.40 3021026 T 2
1 3307172.60 3016026 T 1 4343976.44 3006016 F 2
1 3307172.60 3016026 T 1 3484403.43 3011046 F 2
1 3307172.60 3016026 T 1 4352307.11 3006031 F 2
1 3307172.60 3016026 T 1 4059969.00 0011011 F 2
1 3307172.60 3016026 T 1 4365895.11 2011016 F 2
1 3307172.60 3016026 T 1 2780355.56 0026021 F 2
1 3307172.60 3016026 T 1 2770000.44 3021021 F 2
1 3307172.60 3016026 T 1 2777320.44 1036016 F 2
1 3307172.60 3016026 T 1 4668243.20 1006031 F 2
1 3307172.60 3016026 T 1 4671882.80 2006031 F 2
1 3307172.60 3016026 T 1 4065198.67 2011026 F 2
1 3307172.60 3016026 T 1 4668095.20 1011021 F 2
1 3307172.60 3016026 T 1 4663366.80 1011031 F 2
1 3307172.60 3016026 T 1 2769560.44 3021016 F 2
1 3307172.60 3016026 T 1 2766656.22 3026011 T 2
1 3307172.60 3016026 T 1 4343976.44 3006016 F 2
1 3307172.60 3016026 T 1 2769560.44 3021016 F 2
1 3307172.60 3016026 T 1 4367352.00 2026016 F 2
1 3307172.60 3016026 T 1 3258580.80 0031021 F 2
1 3307172.60 3016026 T 1 3626806.36 3026031 T 2
1 3307172.60 3016026 T 1 4344611.11 3011021 F 2
1 3307172.60 3016026 T 1 3628828.00 3021036 F 2
1 3307172.60 3016026 T 1 4668095.20 1011021 F 2
1 3307172.60 3016026 T 1 4344611.11 3011021 F 2
1 3307172.60 3016026 T 1 2782697.33 0021016 F 2
1 3307172.60 3016026 T 1 2766591.33 3021006 T 2
1 3307172.60 3016026 T 1 3157214.00 3016036 T 2
1 3307172.60 3016026 T 1 4360024.00 1001026 F 2
1 3307172.60 3016026 T 1 4343976.44 3006016 F 2
1 3307172.60 3016026 T 1 2778602.00 2041016 F 2
1 3307172.60 3016026 T 1 3063101.75 2016036 F 2
1 3157214.00 3016036 T 1 3483627.43 3011036 F 2
1 3157214.00 3016036 T 1 3311716.80 0011021 F 2
1 3157214.00 3016036 T 1 4365895.11 2011016 F 2
1 3157214.00 3016036 T 1 4636149.20 1031031 F 2
1 3157214.00 3016036 T 1 4672947.20 0011036 F 2
1 3157214.00 3016036 T 1 4342415.56 3006046 T 2
1 3157214.00 3016036 T 1 3217672.40 3006026 F 2
1 3157214.00 3016036 T 1 4669314.00 1006041 F 2
1 3157214.00 3016036 T 1 3260323.20 0031031 F 2
1 3157214.00 3016036 T 1 4676712.00 1001041 F 2
1 3157214.00 3016036 T 1 4346154.00 3011026 F 2
1 3157214.00 3016036 T 1 4658852.80 1021036 F 2
1 3157214.00 3016036 T 1 4671882.80 2006031 F 2
1 3157214.00 3016036 T 1 3304499.60 3016031 F 2
1 3157214.00 3016036 T 1 4632362.40 1016031 F 2
1 3157214.00 3016036 T 1 3217672.40 3006026 F 2
1 3157214.00 3016036 T 1 4058120.67 0031041 F 2
1 3157214.00 3016036 T 1 4667043.60 1016041 F 2
1 3157214.00 3016036 T 1 3051555.50 3021041 F 2
1 3157214.00 3016036 T 1 4674104.80 1021041 F 2
1 3157214.00 3016036 T 1 4232751.85 3016046 F 2
1 3157214.00 3016036 T 1 3629322.73 3006036 F 2
1 3157214.00 3016036 T 1 3307172.60 3016026 T 2
1 3157214.00 3016036 T 1 4668342.40 0011041 F 2
1 3157214.00 3016036 T 1 3063771.75 0016046 F 2
1 3157214.00 3016036 T 1 4666476.00 1016046 F 2
1 3157214.00 3016036 T 1 3304499.60 3016031 F 2
1 3157214.00 3016036 T 1 4638784.80 0006036 F 2
1 3157214.00 3016036 T 1 4632172.40 0026031 F 2
1 3157214.00 3016036 T 1 4364810.00 2031041 F 2
1 3157214.00 3016036 T 1 4659272.40 1011026 F 2
1 3157214.00 3016036 T 1 4346154.00 3011026 F 2
1 3157214.00 3016036 T 1 4671103.60 0016036 F 2
1 3157214.00 3016036 T 1 4352307.11 3006031 F 2
1 3157214.00 3016036 T 1 4633146.40 0021026 F 2
1 3157214.00 3016036 T 1 4665961.20 1026041 F 2
1 3157214.00 3016036 T 1 3626126.55 3011031 F 2
1 3157214.00 3016036 T 1 4057951.67 2016021 F 2
1 3157214.00 3016036 T 1 4674412.00 0021031 F 2
1 3157214.00 3016036 T 1 4669442.80 0021051 F 2
1 454835.60 3041026 T 2 457822.80 1046036 F 3
1 454835.60 3041026 T 2 1617578.33 1056026 F 3
1 454835.60 3041026 T 2 454835.60 3041026 T 3
1 454835.60 3041026 T 2 3247576.80 2056026 F 3
