Run Fitness1 Solution1 Elite1 Fitness2 Solution2 Elite2
1 3974907.3333 36100036 T 4679816.4000 35100046 F
1 3974907.3333 36100036 T 4682084.0000 37600036 F
1 3974907.3333 36100036 T 4696401.2000 27600051 F
1 3974907.3333 36100036 T 4693236.8000 26600041 F
1 3974907.3333 36100036 T 3448297.4286 25600036 F
1 3974907.3333 36100036 T 3973944.0000 36600031 F
1 3974907.3333 36100036 T 4706851.6000 16100041 F
1 3974907.3333 36100036 T 3980307.6667 36100046 F
1 3974907.3333 36100036 T 4674410.4000 37100036 F
1 3974907.3333 36100036 T 4350231.7778 35600051 F
1 3974907.3333 36100036 T 4672858.0000 36100041 F
1 3974907.3333 36100036 T 2768329.1111 35600021 F
1 3974907.3333 36100036 T 4705578.0000 06100026 F
1 3974907.3333 36100036 T 4684310.8000 38100051 F
1 3974907.3333 36100036 T 3974907.3333 36100036 T
1 3974907.3333 36100036 T 3986079.6667 27100051 F
1 3974907.3333 36100036 T 3974907.3333 36100036 T
1 3974907.3333 36100036 T 3973596.3333 35100031 F
1 3974907.3333 36100036 T 4351845.5556 37100051 F
1 3974907.3333 36100036 T 4672858.0000 36100041 F
1 3974907.3333 36100036 T 4674410.4000 37100036 F
1 3974907.3333 36100036 T 4349099.1111 35600046 F
1 3974907.3333 36100036 T 4702881.6000 15600046 F
1 3974907.3333 36100036 T 3985079.3333 14600036 F
1 3974907.3333 36100036 T 4018675.0000 15600031 F
1 3974907.3333 36100036 T 4349099.1111 35600046 F
1 3974907.3333 36100036 T 3975594.6667 36600046 F
1 3974907.3333 36100036 T 4688417.2000 24600046 F
1 3974907.3333 36100036 T 3974907.3333 36100036 T
1 3974907.3333 36100036 T 1906956.8000 36600021 F
1 3974907.3333 36100036 T 4724069.2000 07100056 F
1 3974907.3333 36100036 T 4342241.3333 35600031 F
1 3974907.3333 36100036 T 4685391.2000 37600041 F
1 3974907.3333 36100036 T 4699608.0000 16100036 F
1 3974907.3333 36100036 T 4678322.0000 36600056 F
