Run Fitness1 Solution1 Elite1 Iteration1 Fitness2 Solution2 Elite2 Iteration2
1 3458606.29 3023025 T 1 3148068.75 3013033 T 2
1 3458606.29 3023025 T 1 3104407.00 3041023 T 2
1 3458606.29 3023025 T 1 3461182.57 2037039 F 2
1 3458606.29 3023025 T 1 3977755.00 2029031 F 2
1 3458606.29 3023025 T 1 3982895.75 2021025 F 2
1 3458606.29 3023025 T 1 1623896.33 3033019 F 2
1 3458606.29 3023025 T 1 1854096.00 1025011 F 2
1 3458606.29 3023025 T 1 3467632.29 2019027 F 2
1 3458606.29 3023025 T 1 3978054.25 2027045 F 2
1 3458606.29 3023025 T 1 3982131.25 1029039 F 2
1 3458606.29 3023025 T 1 1849072.00 1035027 F 2
1 3458606.29 3023025 T 1 3956319.00 3027033 F 2
1 3458606.29 3023025 T 1 3984308.00 1019019 F 2
1 3458606.29 3023025 T 1 3973649.80 2023023 F 2
1 3458606.29 3023025 T 1 3958921.20 3023019 F 2
1 3458606.29 3023025 T 1 3954014.75 2035023 F 2
1 3458606.29 3023025 T 1 1848201.20 3035025 T 2
1 3458606.29 3023025 T 1 3458606.29 3023025 T 2
1 3458606.29 3023025 T 1 3474010.29 0021023 F 2
1 3458606.29 3023025 T 1 1854303.20 1019015 F 2
1 3458606.29 3023025 T 1 1849382.00 1019037 F 2
1 3458606.29 3023025 T 1 3958435.60 3039029 F 2
1 3458606.29 3023025 T 1 1852084.80 1025017 F 2
1 3458606.29 3023025 T 1 3453951.14 3011019 F 2
1 3458606.29 3023025 T 1 1848916.80 1027027 F 2
1 3458606.29 3023025 T 1 1854480.40 0025023 F 2
1 3458606.29 3023025 T 1 1852492.40 1023021 F 2
1 3458606.29 3023025 T 1 1854421.60 1017017 F 2
1 3458606.29 3023025 T 1 3627527.11 3031009 T 2
1 3458606.29 3023025 T 1 3978286.00 2021029 F 2
1 3458606.29 3023025 T 1 1621164.33 3023033 T 2
1 3458606.29 3023025 T 1 1850284.40 0017041 F 2
1 3458606.29 3023025 T 1 3953664.60 3025027 F 2
1 3458606.29 3023025 T 1 1621966.33 3021033 F 2
1 3458606.29 3023025 T 1 1848229.20 1019027 F 2
1 3458606.29 3023025 T 1 1844257.20 3017035 F 2
1 3458606.29 3023025 T 1 3977781.75 0027019 F 2
1 3458606.29 3023025 T 1 3973756.80 2013033 F 2
1 3458606.29 3023025 T 1 1849058.00 0025027 F 2
1 3458606.29 3023025 T 1 1623896.33 3033019 F 2
1 3458606.29 3023025 T 1 1852205.20 0031029 F 2
