Run Fitness1 Solution1 Elite1 Iteration1 Fitness2 Solution2 Elite2 Iteration2
1 3302838.80 3017025 T 1 4347423.11 3025029 F 2
1 3302838.80 3017025 T 1 4661517.60 1019013 F 2
1 3302838.80 3017025 T 1 4346154.00 3011025 F 2
1 3302838.80 3017025 T 1 4672954.00 1011027 F 2
1 3302838.80 3017025 T 1 4677724.40 0027013 F 2
1 3302838.80 3017025 T 1 4365684.44 1009035 F 2
1 3302838.80 3017025 T 1 4347660.67 3005025 F 2
1 3302838.80 3017025 T 1 4665852.80 0021043 F 2
1 3302838.80 3017025 T 1 4671879.20 2011027 F 2
1 3302838.80 3017025 T 1 4362019.78 2019029 F 2
1 3302838.80 3017025 T 1 4668159.60 1019005 F 2
1 3302838.80 3017025 T 1 4650054.00 3019025 F 2
1 3302838.80 3017025 T 1 4674892.80 1031033 F 2
1 3302838.80 3017025 T 1 4673219.60 0025027 F 2
1 3302838.80 3017025 T 1 3626327.64 3017041 F 2
1 3302838.80 3017025 T 1 4063604.67 1027019 F 2
1 3302838.80 3017025 T 1 4361670.00 1017013 F 2
1 3302838.80 3017025 T 1 4350841.11 3001033 F 2
1 3302838.80 3017025 T 1 4668250.80 2013021 F 2
1 3302838.80 3017025 T 1 4669661.60 2009015 F 2
1 3302838.80 3017025 T 1 4348834.67 3011035 F 2
1 3302838.80 3017025 T 1 3245828.40 3023029 F 2
1 3302838.80 3017025 T 1 3157214.00 3017037 F 2
1 3302838.80 3017025 T 1 4346984.67 3015027 F 2
1 3302838.80 3017025 T 1 4059560.33 0017019 F 2
1 3302838.80 3017025 T 1 4664527.60 2006041 F 2
1 3302838.80 3017025 T 1 4666804.80 1017021 F 2
1 3302838.80 3017025 T 1 4667339.20 0001027 F 2
1 3302838.80 3017025 T 1 3628054.36 3019021 F 2
1 3302838.80 3017025 T 1 3154013.08 3033025 F 2
1 3302838.80 3017025 T 1 4668511.60 0027029 F 2
1 3302838.80 3017025 T 1 4662486.40 0013027 F 2
